Cluster ID,Número de Abstracts,Ejemplo de Abstract
377,2,"Although computational thinking (CT) is becoming increasingly prevalent in K-12 education, many teachers find it challenging to integrate it with their classroom learning. In this systematic review, we have re..."
171,1,"Contemporary science is a field that is becoming increasingly computational. Todays scientists not only leverage computational tools to conduct their investigations, they often must contribute to the design o..."
2172,1,"This research explored the creative thinking, learning achievement, and engagement of students when they integrated the application of the personal audio classifier (PAC) into the competition of a computationa..."
180,6,"While various studies have focused on the significance of computational thinking (CT) for the future career paths of individuals in science, technology, engineering, and mathematics (STEM), few studies have fo..."
2546,1,"This paper introduces project-based learning (PBL) features for developing technological, curricular, and pedagogical supports to engage students in computational thinking (CT) through modeling. CT is recogniz..."
1131,1,"Researchers are increasingly exploring educational games in immersive virtual reality (IVR) environments to facilitate students learning experiences. Mainly, the effect of IVR on learning outcomes has been th..."
729,2,"In our interconnected world, Systems Thinking (ST) is increasingly being recognized as a key learning goal for science education to help students make sense of complex phenomena. To support students in masteri..."
424,1,Educational robotics (ER) is increasingly used in classrooms to implement activities aimed at fostering the development of students computational thinking (CT) skills. Though previous works have proposed diff...
2292,2,"Interests towards teaching programming skills have risen recently in the realm of computing education. Learning how to program not only enables learners to develop computing applications, but it can also enhan..."
391,2,"There exist shared competencies between computational thinking (CT) and mathematics, and these two domains also mutually benefit from various teaching approaches. However, the linkages between mathematics and ..."
378,2,"Integrating computational thinking (CT) into STEM education has recently drawn significant attention, strengthened by the premise that CT and STEM are mutually reinforcing. Previous CT-STEM studies have examin..."
2410,2,"Unplugged activities as a low-cost solution to foster computational thinking (CT) skills seem to be a trend in recent years. However, current evidence of the effectiveness of unplugged activities in promoting ..."
970,1,"Deductive and theory-driven research starts by asking questions. Finding tentative answers to these questions in the literature is next. It is followed by gathering, preparing and modelling relevant data to em..."
423,2,"To better understand students computational thinking skills (CTS) within the context of flipped-classroom instruction, a structural equation modeling analysis is employed to examine the key factors that influ..."
2589,2,"This article investigates the role of problem representation in complex problem-solving based on quasi-experimental data analysis, specifically within the context of computational thinking. Using the Tower of ..."
282,2,"In the digital age, fostering young childrens computational thinking (CT) and executive functions (EFs) through programming has emerged as a significant research issue. While unplugged programming activities ..."
399,2,Creative and problem-solving competencies are part of the so-called twenty-first century skills. The creative use of digital technologies to solve problems is also related to computational thinking as a set of...
2638,1,"In recent years, programming education has gained recognition at various educational levels due to its increasing importance. As the need for problem-solving skills becomes more vital, researchers have emphasi..."
864,1,"This paper proposes an Internet of Things device (IoT)-based ecosystem that can be leveraged to provide children and adolescent students with STEM educational activities. Our framework is general and scalable,..."
2487,1,This article focuses on empirically analyzing the final products designed by 147 academics from 11 countries who participated in an international open education movement workshop by answering the research ques...
2056,1,"This work addresses from the perspective of evolutionary pressure, the delicate issue of the mechanisms and causes that are behind the emergence of the faculty of language among early Homo sapiens ancestors. I..."
651,2,Relational thinking involves understanding equivalence and numerical relationships. The present study examined the relational thinking of seventh graders before and after a 15-day mental mathematics interventi...
2071,1,"The objective is to present a proposal for a gender-sensitive risk analysis model using artificial intelligence (AI) within the framework of complex thinking that provides access to opportunities, specifically..."
3071,1,"The present discussion examines the transformative impact of Artificial Intelligence (AI) in educational settings, focusing on the necessity for AI literacy, prompt engineering proficiency, and enhanced critic..."
2924,2,"Computational approaches in STEM foster creative extrapolations of ideas that extend the bounds of human perception, processing, and sense-making. Inviting teachers to explore computational approaches in STEM ..."
2787,2,This study posits that scaffolded team-based computational modeling and simulation projects can support model-based learning that can result in evidence of representational competence and regulatory skills. Th...
2832,2,"Using games in education has the potential to increase students motivation and engagement in the learning process, gathering long-lasting practical knowledge. Expanding interest in implementing a game-based a..."
1639,1,"Internationally, coding is increasingly introduced into primary and junior high schools (children generally aged between 5 and 15) on a compulsory basis, though not all stakeholders support this initiative. ..."
699,2,The rapid advancement of digital technology has not only affected the world of work but also students' learning. Digital learning competence (DLC) is one of the essential skills students need for effective lea...
1168,3,"Along with the increasing attention to artificial intelligence (AI), renewed emphasis or reflection on human intelligence (HI) is appearing in many places and at multiple levels. One of the foci is critical th..."
2267,1,"In this work, BEAM robotics is proposed to enhance the STEM knowledge and skills of engineering students in the electrical, electronic, and mechanical domains. To evaluate the proposal, a course is designed an..."
148,2,Computer-based virtual learning environments (CBVLEs) are potentially useful teaching tools for training nursing students in professional duties such as the mathematical tasks associated with medication proces...
3139,4,"In her 2021 IC2S2 keynote talk, Critical Data Theory, Margaret Hu builds off Critical Race Theory, privacy law, and big data surveillance to grapple with questions at the intersection of big data and legal j..."
654,2,Computational thinking (CT) is crucial to fostering critical thinking and problem-solving skills. Many elementary schools have been cultivating students CT through block-based programming languages such as Sc...
387,1,"The purpose of this study is to discover the main themes and categories of the research studies regarding digital literacy. To serve this purpose, the databases of WoS/Clarivate Analytics, Proquest Central, Em..."
1837,1,"This paper explores the evolving landscape of informatics education in European primary and secondary schools, analysing academic and grey literature to define the state of play and open questions related to ..."
627,3,"Educational designers are working to embed computation in required classes outside of computer science (CS) courses, to promote equitable access for all students. While many studies embed computation in one di..."
1191,1,"Architectural education has been transformed by digital tools, yet significant gaps remain in their application, particularly in supporting the iterative and creative aspects of design thinking. This study aim..."
1463,1,This study presents the development of three research tools of scientific creativity. Our aim is to evaluate the development of student creativity while students write digital stories. Three models are linked ...
